GEO.id,Geographic identifier code
GEO.id2,Id2
GEO.display-label,Geographic area name
GEO.annotation.id,Id
NAICS.id,2007 NAICS code
NAICS.display-label,Meaning of 2007 NAICS code
NAICS.annotation.id,Id
OPTAX.id,Type of operation or tax status code
OPTAX.display-label,Meaning of Type of operation or tax status code
YEAR.id,Year
ESTAB,Number of establishments
RCPTOT,"Receipts/Revenue ($1,000)"
OPEX,"Expenses ($1,000)"
PAYANN,"Annual payroll ($1,000)"
PAYQTR1,"First-quarter payroll ($1,000)"
EMP,Number of paid employees for pay period including March 12
ADMIN_PCT,"Sales, receipts, or revenue from administrative records (%)"
IMPUT_PCT,"Sales, receipts, or revenue estimated (%)"
