School,2009,2010,2011,2012,2013,2014,2015,AVG RANK,City,State
Northeastern,96,80,69,62,56,49,42,64.85714286,Boston,Massachusetts
TCU,113,110,99,97,92,82,76,95.57142857,Fort_Worth,Texas
Massachusetts Amherst,102,106,99,94,97,91,76,95,Amherst,Massachusetts
Brigham Young,113,71,75,71,68,62,62,74.57142857,Provo,Utah
Florida St,102,102,104,101,97,91,95,98.85714286,Tallahassee,Florida
Boston Univ,60,56,56,53,51,41,42,51.28571429,Boston,Massachusetts
Univ at Buffalo,121,121,120,111,106,109,103,113,Buffalo,New York
Clark,80,88,86,94,83,75,76,83.14285714,Worcester,Massachusetts
American,83,84,79,82,77,75,71,78.71428571,Washington,D.C.
Drexel,89,88,86,88,83,97,95,89.42857143,Philadelphia,Pennsylvania
