,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
0,37.5,54907.0,6615.0,53682.0,24571.0,"Autauga County, Alabama",001,01,2013
1,41.5,187114.0,25752.0,50221.0,26766.0,"Baldwin County, Alabama",003,01,2013
2,38.3,27321.0,6512.0,32911.0,16829.0,"Barbour County, Alabama",005,01,2013
3,39.4,22754.0,3898.0,36447.0,17427.0,"Bibb County, Alabama",007,01,2013
4,39.6,57623.0,9023.0,44145.0,20730.0,"Blount County, Alabama",009,01,2013
5,39.6,10746.0,2211.0,32033.0,18628.0,"Bullock County, Alabama",011,01,2013
6,40.6,20624.0,5776.0,29918.0,17403.0,"Butler County, Alabama",013,01,2013
7,38.7,117714.0,25105.0,39962.0,20828.0,"Calhoun County, Alabama",015,01,2013
8,42.4,34145.0,8114.0,32402.0,19291.0,"Chambers County, Alabama",017,01,2013
9,45.0,26034.0,5415.0,34907.0,22030.0,"Cherokee County, Alabama",019,01,2013
10,38.0,43744.0,8443.0,41250.0,20701.0,"Chilton County, Alabama",021,01,2013
11,44.2,13687.0,2904.0,33941.0,20323.0,"Choctaw County, Alabama",023,01,2013
12,40.3,25573.0,7416.0,29357.0,18979.0,"Clarke County, Alabama",025,01,2013
13,42.1,13703.0,2540.0,34002.0,18694.0,"Clay County, Alabama",027,01,2013
14,41.3,14945.0,2728.0,38019.0,19108.0,"Cleburne County, Alabama",029,01,2013
15,37.8,50468.0,9238.0,43768.0,23380.0,"Coffee County, Alabama",031,01,2013
16,41.7,54456.0,9651.0,39077.0,21572.0,"Colbert County, Alabama",033,01,2013
17,43.2,13104.0,4264.0,24658.0,15605.0,"Conecuh County, Alabama",035,01,2013
18,44.7,11198.0,2280.0,37277.0,18493.0,"Coosa County, Alabama",037,01,2013
19,42.4,37847.0,7446.0,35869.0,20391.0,"Covington County, Alabama",039,01,2013
20,40.6,13955.0,2621.0,36275.0,21343.0,"Crenshaw County, Alabama",041,01,2013
21,40.4,80499.0,14903.0,38847.0,20760.0,"Cullman County, Alabama",043,01,2013
22,36.1,50102.0,8448.0,44889.0,22685.0,"Dale County, Alabama",045,01,2013
