OPE ID,School,State,Zip Code,School Type,20062007Qtr1_Dependent Students,20062007Qtr1_Independent Students,Quarterly Total,YTD_20062007Qtr1_Dependent Students,YTD_20062007Qtr1_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,2502,961,3463,2502,961,3463
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,301,603,904,301,603,904
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,561,256,817,561,256,817
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,2845,1072,3917,2845,1072,3917
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,243,237,480,243,237,480
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,137,581,718,137,581,718
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,6787,1901,8688,6787,1901,8688
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,665,87,752,665,87,752
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,873,1211,2084,873,1211,2084
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,159,192,351,159,192,351
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,1140,517,1657,1140,517,1657
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,490,570,1060,490,570,1060
00101706,GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS,AL,36202-0000,Public       ,60,93,153,60,93,153
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,234,390,624,234,390,624
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,366,67,433,366,67,433
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,1892,1193,3085,1892,1193,3085
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,83,154,237,83,154,237
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,531,948,1479,531,948,1479
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,85,29,114,85,29,114
