OPE ID,School,State,Zip Code,School Type,20132014Qtr4_Dependent Students,20132014Qtr4_Independent Students,Quarterly Total,YTD_20132014Qtr4_Dependent Students,YTD_20132014Qtr4_nan,Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,175,246,421,6438,,3691,10129
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,116,342,458,2075,,4226,6301
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,127,117,244,2592,,1564,4156
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,442,509,951,10261,,6228,16489
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,98,250,348,1469,,1988,3457
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,77,271,348,1004,,3421,4425
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,956,492,1448,18672,,6842,25514
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,111,112,223,2128,,887,3015
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,454,1031,1485,5552,,8435,13987
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,89,206,295,1362,,1810,3172
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,446,314,760,5813,,3080,8893
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,247,741,988,3276,,6073,9349
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,206,560,766,2528,,4532,7060
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,79,91,170,1619,,821,2440
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,330,501,831,7291,,5830,13121
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,50,124,174,685,,921,1606
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,435,1153,1588,5239,,9201,14440
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,19,12,31,367,,160,527
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,127,351,478,2704,,4778,7482
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,38,10,48,561,,103,664
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,86,105,191,2640,,1410,4050
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,127,222,349,1984,,2314,4298
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,275,723,998,2633,,5508,8141
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,143,232,375,1494,,1955,3449
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,60,107,167,1987,,1216,3203
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,77,125,202,1247,,1077,2324
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,170,244,414,3994,,3089,7083
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,111,232,343,1666,,2002,3668
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,242,403,645,3671,,3489,7160
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,106,129,235,2581,,1062,3643
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,83,92,175,1899,,776,2675
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,49,44,93,1110,,570,1680
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,502,1836,2338,9531,,21765,31296
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,152,76,228,5406,,1562,6968
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,1292,965,2257,28750,,12141,40891
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,677,1099,1776,12579,,13780,26359
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,368,441,809,5479,,4849,10328
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,622,1006,1628,11114,,10999,22113
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,128,460,588,2354,,3965,6319
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,39,181,220,828,,1560,2388
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,294,470,764,3575,,3908,7483
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,83,300,383,741,,2283,3024
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,295,559,854,4545,,4237,8782
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,18,90,108,257,,717,974
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,590,436,1026,2692,,2660,5352
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,79,206,285,1233,,1973,3206
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,162,427,589,2333,,3432,5765
00573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE ,AL,36108-0020,Public       ,85,289,374,897,,2301,3198
00573401,H. C. TRENHOLM ST TECH COL-PATTERSON CAM,AL,36116-2612,Public       ,49,159,208,545,,1284,1829
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,292,514,806,3730,,4356,8086
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,224,435,659,4800,,5013,9813
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,74,156,230,1130,,1332,2462
01055400,CONCORDIA COLLEGE                       ,AL,36701-3323,Private      ,33,32,65,812,,546,1358
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,86,249,335,1244,,2250,3494
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,44,215,259,445,,1711,2156
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,3,92,95,45,,753,798
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,6,10,16,39,,98,137
02270400,SOUTHEASTERN BIBLE COLLEGE              ,AL,35244-2083,Private      ,13,35,48,148,,331,479
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,15,27,42,97,,199,296
02296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,36117-0000,Proprietary  ,5,34,39,50,,356,406
02341000,FORTIS COLLEGE                          ,AL,36609-0000,Proprietary  ,77,284,361,767,,2528,3295
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,11,122,133,91,,1251,1342
03010600,VIRGINIA COLLEGE                        ,AL,35209-5154,Proprietary  ,494,2558,3052,3730,,21925,25655
03010602,VIRGINIA COLLEGE - HUNTSVILLE           ,AL,35805-0000,Proprietary  ,27,138,165,269,,1079,1348
03010607,VIRGINIA COLLEGE - MOBILE               ,AL,36608-1626,Proprietary  ,35,204,239,419,,1586,2005
03010616,VIRGINIA COLLEGE - MONTGOMERY           ,AL,36117-2802,Proprietary  ,38,200,238,453,,1785,2238
03026516,REMINGTON COLLEGE - MOBILE              ,AL,36609-5593,Private      ,24,99,123,695,,1840,2535
03032500,ALABAMA STATE CLG BARBER STYLING        ,AL,35215-0000,Proprietary  ,13,35,48,100,,200,300
03361400,FORTIS COLLEGE                          ,AL,36535-0000,Proprietary  ,18,85,103,196,,695,891
03459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY      ,AL,35228-0000,Private      ,3,30,33,45,,158,203
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,10,61,71,129,,392,521
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,2,22,24,34,,254,288
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,AL,36604-1411,Proprietary  ,8,44,52,68,,349,417
04067300,SELMA UNIVERSITY                        ,AL,36701-0000,Private      ,8,46,54,225,,647,872
04121500,COLUMBIA SOUTHERN UNIVERSITY            ,AL,36561-3815,Proprietary  ,67,1910,1977,567,,15527,16094
04149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,AL,35216-4990,Proprietary  ,12,48,60,113,,291,404
04187200,NEW BEGINNING COLLEGE OF COSMETOLOGY    ,AL,35950-2415,Proprietary  ,5,29,34,69,,169,238
04187300,HAIR ACADEMY (THE)                      ,AL,36111-2201,Proprietary  ,6,18,24,71,,173,244
04197500,UNIVERSITY ACADEMY OF HAIR DESIGN       ,AL,35476-3100,Proprietary  ,5,9,14,46,,102,148
04211000,SALON PROFESSIONAL ACADEMY (THE)        ,AL,35816-1849,Proprietary  ,9,26,35,72,,187,259
00111100,ALLAN HANCOCK COLLEGE                   ,CA,93454-6399,Public       ,345,779,1124,5228,,5809,11037
00111300,ANTELOPE VALLEY COLLEGE                 ,CA,93536-5426,Public       ,545,1497,2042,7630,,12555,20185
00111600,ART CENTER COLLEGE OF DESIGN            ,CA,91103-1999,Private      ,105,133,238,2005,,1663,3668
00111700,AZUSA PACIFIC UNIVERSITY                ,CA,91702-7000,Private      ,332,846,1178,10899,,9769,20668
00111800,BAKERSFIELD COLLEGE                     ,CA,93305-1299,Public       ,614,1310,1924,11373,,11932,23305
