OPE ID,School,State,Zip Code,School Type,20152016Qtr3_Dependent Students,20152016Qtr3_Independent Students,Quarterly Total,YTD_20152016Qtr3_Dependent Students,YTD_20152016Qtr3_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,1009,1070,2079,6385,3449,9834
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,275,1066,1341,1928,3592,5520
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,309,272,581,2486,1218,3704
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,1310,1377,2687,8730,4840,13570
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,334,446,780,1308,1326,2634
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,170,794,964,853,2848,3701
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,1676,1272,2948,19014,6322,25336
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,124,156,280,2213,631,2844
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,1303,2002,3305,4880,6189,11069
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,278,396,674,1049,1119,2168
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,848,711,1559,5379,2645,8024
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,822,1465,2287,2913,4151,7064
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,689,1188,1877,2383,3525,5908
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,224,216,440,1524,698,2222
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,984,1188,2172,6530,4451,10981
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,185,293,478,614,727,1341
